Year,No Smoothing,Lowess(5)
1977,0,0
1978,-0.11,0.05
1979,-0.02,0.09
1980,0.08,0.02
1981,0.14,0.03
1982,-0.04,0.03
1983,0.13,0.03
1984,-0.03,0.03
1985,-0.06,0.04
1986,0,0.06
1987,0.14,0.09
1988,0.21,0.13
1989,0.09,0.15
1990,0.27,0.15
1991,0.22,0.15
1992,0.04,0.15
1993,0.05,0.15
1994,0.13,0.16
1995,0.26,0.18
1996,0.15,0.22
1997,0.28,0.24
1998,0.43,0.26
1999,0.2,0.29
2000,0.21,0.32
2001,0.35,0.34
2002,0.45,0.37
2003,0.44,0.4
2004,0.35,0.43
2005,0.5,0.44
2006,0.46,0.44
2007,0.48,0.45
2008,0.36,0.46
2009,0.47,0.46
2010,0.54,0.46
2011,0.43,0.48
2012,0.46,0.51
2013,0.49,0.56
2014,0.57,0.6
2015,0.72,0.65
2016,0.83,0.69
2017,0.74,0.73
2018,0.67,0.75
2019,0.8,0.75
2020,0.83,0.77
2021,0.67,0.79
2022,0.71,0.81
2023,0.99,0.83
